MsgID.LOCAL_POSITION,8.5470000,0.1232126,-0.0071292,-0.2469637
MsgID.LOCAL_VELOCITY,8.5470000,0.0006532,0.0103187,-0.1100509
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924811,0.2460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.1100000
MsgID.LOCAL_POSITION,8.7970000,-0.0887066,-0.1376083,-0.2455288
MsgID.LOCAL_VELOCITY,8.7970000,-0.0061519,0.0092028,-0.1389394
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924791,0.2450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1300000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,9.0470000,-0.0779176,-0.0202051,-0.2348466
MsgID.LOCAL_VELOCITY,9.0470000,0.0025246,0.0144937,-0.1325443
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924792,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.1300000
MsgID.LOCAL_POSITION,9.2970000,0.0778906,0.0419391,-0.2351540
MsgID.LOCAL_VELOCITY,9.2970000,0.0129131,0.0117872,-0.2407466
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924807,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,-0.2300000
MsgID.LOCAL_POSITION,9.5470000,0.1759036,-0.1349066,-0.2425455
MsgID.LOCAL_VELOCITY,9.5470000,0.0073028,0.0043626,-0.1988356
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924815,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1900000
MsgID.LOCAL_POSITION,9.7980000,0.0893674,-0.0940960,-0.2439432
MsgID.LOCAL_VELOCITY,9.7980000,-0.0070683,0.0099737,-0.1367609
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924808,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1300000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,10.0480000,0.0152115,0.0330564,-0.2491042
MsgID.LOCAL_VELOCITY,10.0480000,-0.0081421,0.0101324,-0.1150020
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924801,0.2490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.1100000
MsgID.LOCAL_POSITION,10.2980000,0.0008229,-0.0025567,-0.2519792
MsgID.LOCAL_VELOCITY,10.2980000,0.0009564,0.0015674,-0.0376156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,0.2510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,10.5480000,-0.1235840,-0.0028809,-0.2644615
MsgID.LOCAL_VELOCITY,10.5480000,0.0051081,0.0005124,-0.0148883
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924788,0.2640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,10.7980000,-0.0357540,-0.0960301,-0.2695278
MsgID.LOCAL_VELOCITY,10.7980000,0.0133978,0.0030276,0.0919795
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924796,0.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,0.0900000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,11.0490000,0.0296462,-0.1215951,-0.2722981
MsgID.LOCAL_VELOCITY,11.0490000,0.0131780,0.0088502,0.1002265
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924802,0.2720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,0.1000000
MsgID.LOCAL_POSITION,11.2990000,0.0321112,-0.0123309,-0.2709788
MsgID.LOCAL_VELOCITY,11.2990000,0.0067073,0.0142147,0.1193334
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,0.2700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,0.1100000
MsgID.LOCAL_POSITION,11.5490000,0.0333601,-0.0328213,-0.2691137
MsgID.LOCAL_VELOCITY,11.5490000,0.0035846,0.0097578,0.0819600
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924803,0.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0800000
MsgID.LOCAL_POSITION,11.7990000,0.0342149,0.0672919,-0.2700783
MsgID.LOCAL_VELOCITY,11.7990000,0.0033294,0.0023384,0.0693119
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924803,0.2700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0600000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,12.0490000,0.0348553,0.1774374,-0.2609729
MsgID.LOCAL_VELOCITY,12.0490000,0.0031891,-0.0058913,0.0643887
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924803,0.2600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0600000
MsgID.LOCAL_POSITION,12.2990000,0.0431749,0.1341337,-0.2563734
MsgID.LOCAL_VELOCITY,12.2990000,0.0067107,-0.0173522,-0.0074387
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924803,0.2560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0000000
MsgID.LOCAL_POSITION,12.5500000,0.1494997,0.0088048,-0.2660995
MsgID.LOCAL_VELOCITY,12.5500000,0.0036887,-0.0212482,0.0161775
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924813,0.2660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0100000
MsgID.LOCAL_POSITION,12.8000000,0.1939718,-0.0057652,-0.2530155
MsgID.LOCAL_VELOCITY,12.8000000,-0.0071225,-0.0114666,0.0555491
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924817,0.2520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0500000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,13.0500000,0.0268372,0.0090600,-0.2565219
MsgID.LOCAL_VELOCITY,13.0500000,-0.0171661,-0.0043218,-0.0108541
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,0.2560000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,13.3000000,-0.1062430,0.1450253,-0.2551328
